Date,Rate
2022-05-11,14618.73
2022-05-12,14618.73
2022-05-13,14657.93
2022-05-17,14692.1
2022-05-18,14724.26
2022-05-19,14755.41
2022-05-20,14804.66
2022-05-23,14734.31
2022-05-24,14738.33
2022-05-25,14726.27
2022-05-27,14718.23
2022-05-30,14650.89
2022-05-31,14616.72
2022-06-02,14664.96
2022-06-03,14598.63
2022-06-06,14503.16
2022-06-07,14534.31
2022-06-08,14536.32
2022-06-09,14549.39
2022-06-10,14627.78
2022-06-13,14641.85
2022-06-14,14745.36
2022-06-15,14802.65
2022-06-16,14819.73
2022-06-17,14814.71
2022-06-20,14902.14
2022-06-21,14910.18
2022-06-22,14878.02
2022-06-23,14934.3
2022-06-24,14909.18
2022-06-27,14920.23
2022-06-28,14876.01
2022-06-29,14911.19
2022-06-30,14922.24
2022-07-01,14956.41
2022-07-04,15030.78
2022-07-05,15034.8
2022-07-06,15064.95
2022-07-07,15090.08
2022-07-08,15060.93
2022-07-11,15055.91
2022-07-12,15043.84
2022-07-13,15067.97
2022-07-14,15059.92
2022-07-15,15074.0
2022-07-18,15074.0
2022-07-19,15060.93
2022-07-20,15066.96
2022-07-21,15058.92
2022-07-22,15092.08
2022-07-25,15099.12
2022-07-26,15066.96
2022-07-27,15058.92
2022-07-28,15095.1
2022-07-29,15032.79
2022-08-01,14934.3
2022-08-02,14948.37
2022-08-03,14962.44
2022-08-04,14991.58
2022-08-05,15003.65
2022-08-08,14978.52
2022-08-09,14989.58
2022-08-10,14936.31
2022-08-11,14949.38
2022-08-12,14873.0
2022-08-15,14761.44
2022-08-16,14800.64
2022-08-18,14840.83
2022-08-19,14896.11
2022-08-22,14932.29
2022-08-23,14956.41
2022-08-24,14967.47
2022-08-25,14925.25
2022-08-26,14901.14
2022-08-29,14888.07
2022-08-30,14961.43
2022-08-31,14949.38
2022-09-01,14927.26
2022-09-02,14958.42
2022-09-05,14974.5
2022-09-06,14994.6
2022-09-07,14959.42
2022-09-08,15001.64
2022-09-09,14979.52
2022-09-12,14920.23
2022-09-13,14913.19
2022-09-14,14935.31
2022-09-15,14997.61
2022-09-16,14973.5
2022-09-19,15013.69
2022-09-20,15054.9
2022-09-21,15049.88
2022-09-22,15086.06
2022-09-23,15108.17
2022-09-26,15110.17
2022-09-27,15194.59
2022-09-28,15230.77
2022-09-29,15319.22
2022-09-30,15323.24
2022-10-03,15308.16
2022-10-04,15369.47
2022-10-05,15352.38
2022-10-06,15271.98
2022-10-07,15272.99
2022-10-10,15322.23
2022-10-11,15375.5
2022-10-12,15438.81
2022-10-13,15449.86
2022-10-14,15433.78
2022-10-17,15466.95
2022-10-18,15557.4
2022-10-19,15546.34
2022-10-20,15568.45
2022-10-21,15656.9
2022-10-24,15688.05
2022-10-25,15667.95
2022-10-26,15694.08
2022-10-27,15673.98
2022-10-28,15650.86
2022-10-31,15619.71
2022-11-01,15673.98
2022-11-02,15725.24
2022-11-03,15730.26
2022-11-04,15759.41
2022-11-07,15814.68
2022-11-08,15770.46
2022-11-09,15762.42
2022-11-10,15732.27
2022-11-11,15779.5
2022-11-14,15570.47
2022-11-15,15576.5
2022-11-16,15641.82
2022-11-17,15688.05
2022-11-18,15765.43
2022-11-21,15770.46
2022-11-22,15785.53
2022-11-23,15794.58
2022-11-24,15778.5
2022-11-25,15725.24
2022-11-28,15746.34
2022-11-29,15807.65
2022-11-30,15815.68
2022-12-01,15820.71
2022-12-02,15695.08
2022-12-05,15506.15
2022-12-06,15486.05
2022-12-07,15653.88
2022-12-08,15697.09
2022-12-09,15702.12
2022-12-12,15664.93
2022-12-13,15720.21
2022-12-14,15739.31
2022-12-15,15697.09
2022-12-16,15708.15
2022-12-19,15695.08
2022-12-20,15699.1
2022-12-21,15686.04
2022-12-22,15679.0
2022-12-23,15671.97
2022-12-26,15683.02
2022-12-27,15714.18
2022-12-28,15737.3
2022-12-29,15781.51
2022-12-30,15809.66
2023-01-02,15669.96
2023-01-03,15649.86
2023-01-04,15667.95
2023-01-05,15693.08
2023-01-06,15688.05
2023-01-09,15713.17
2023-01-10,15651.87
2023-01-11,15666.94
2023-01-12,15604.64
2023-01-13,15442.83
2023-01-16,15252.89
2023-01-17,15094.09
2023-01-18,15229.77
2023-01-19,15212.68
2023-01-20,15188.57
2023-01-24,15196.6
2023-01-25,15004.65
2023-01-26,15032.79
2023-01-27,15038.82
2023-01-30,15052.89
2023-01-31,15053.9
2023-02-01,15066.96
2023-02-02,15065.95
2023-02-03,14942.34
2023-02-06,14972.49
2023-02-07,15130.27
2023-02-08,15214.69
2023-02-09,15197.61
2023-02-10,15195.6
2023-02-13,15215.7
2023-02-14,15292.08
2023-02-15,15243.84
2023-02-16,15269.97
2023-02-17,15251.88
2023-02-20,15275.0
2023-02-21,15243.84
2023-02-22,15254.9
2023-02-23,15294.09
2023-02-24,15262.93
2023-02-27,15292.08
2023-02-28,15350.37
2023-03-01,15316.2
2023-03-02,15326.25
2023-03-03,15349.36
2023-03-06,15382.53
2023-03-07,15377.5
2023-03-08,15435.8
2023-03-09,15528.25
2023-03-10,15515.19
2023-03-13,15545.34
2023-03-14,15450.87
2023-03-15,15456.9
2023-03-16,15441.83
2023-03-17,15495.09
2023-03-20,15440.82
2023-03-21,15448.86
2023-03-24,15425.75
2023-03-27,15264.94
2023-03-28,15249.87
2023-03-29,15163.44
2023-03-30,15169.47
2023-03-31,15137.31
2023-04-03,15051.89
2023-04-04,15064.95
2023-04-05,14987.57
2023-04-06,15007.67
2023-04-10,15017.72
2023-04-11,14979.52
2023-04-12,14962.44
2023-04-13,14940.33
2023-04-14,14865.96
2023-04-17,14739.33
2023-04-18,14846.86
2023-04-26,14929.27
2023-04-27,14956.41
2023-04-28,14824.75
2023-05-02,14734.31
2023-05-03,14776.51
2023-05-04,14779.53
2023-05-05,14705.16
2023-05-08,14747.37
2023-05-09,14782.55
2023-05-10,14830.78
2023-05-11,14819.73
2023-05-12,14795.61
2023-05-15,14825.76
2023-05-16,14886.06
2023-05-17,14884.05
2023-05-19,14949.38
2023-05-22,15010.68
2023-05-23,14971.49
2023-05-24,14952.39
2023-05-25,14979.52
2023-05-26,15026.76
2023-05-29,15033.8
2023-05-30,15047.86
2023-05-31,15043.84
2023-06-05,15078.01
2023-06-06,14962.44
2023-06-07,14913.19
2023-06-08,14949.38
2023-06-09,14977.51
2023-06-12,14927.26
2023-06-13,14948.37
2023-06-14,14942.34
2023-06-15,14969.48
2023-06-16,15017.72
2023-06-19,15019.73
2023-06-20,15068.97
2023-06-21,15115.2
2023-06-22,15056.91
2023-06-23,14992.59
2023-06-26,15072.99
2023-06-27,15101.13
2023-07-03,15075.0
2023-07-04,15109.17
2023-07-05,15093.09
2023-07-06,15088.07
2023-07-07,15137.31
2023-07-10,15211.68
2023-07-11,15267.96
2023-07-12,15237.81
2023-07-13,15159.42
2023-07-14,15052.89
2023-07-17,15019.73
2023-07-18,15082.03
2023-07-20,15068.97
2023-07-21,15065.95
2023-07-24,15101.13
2023-07-25,15103.14
2023-07-26,15082.03
2023-07-27,15107.16
2023-07-28,15078.01
2023-07-31,15158.42
2023-08-01,15167.46
2023-08-02,15192.58
2023-08-03,15246.85
2023-08-04,15273.99
2023-08-07,15243.84
2023-08-08,15253.89
2023-08-09,15305.15
2023-08-10,15282.03
2023-08-11,15280.02
2023-08-14,15301.13
2023-08-15,15399.61
2023-08-16,15422.73
2023-08-18,15384.54
2023-08-21,15384.54
2023-08-22,15405.65
2023-08-23,15402.63
2023-08-24,15395.59
2023-08-25,15329.26
2023-08-28,15373.49
2023-08-29,15370.47
2023-08-30,15339.32
2023-08-31,15315.19
2023-09-01,15313.18
2023-09-04,15328.26
2023-09-05,15323.24
2023-09-06,15336.3
2023-09-07,15383.53
2023-09-08,15410.67
2023-09-11,15417.7
2023-09-12,15428.76
2023-09-13,15420.72
2023-09-14,15443.83
2023-09-15,15433.78
2023-09-18,15443.83
2023-09-19,15449.86
2023-09-20,15457.91
2023-09-21,15472.98
2023-09-22,15473.99
2023-09-25,15459.92
2023-09-26,15476.0
2023-09-27,15541.32
2023-09-29,15603.63
2023-10-02,15564.43
2023-10-03,15596.59
2023-10-04,15678.0
2023-10-05,15714.18
2023-10-06,15679.0
2023-10-09,15706.14
2023-10-10,15753.38
2023-10-11,15786.54
2023-10-12,15788.55
2023-10-13,15780.51
2023-10-16,15787.55
2023-10-17,15794.58
2023-10-18,15796.59
2023-10-19,15809.66
2023-10-20,15917.19
2023-10-23,15935.28
2023-10-24,16022.72
2023-10-25,15948.34
2023-10-26,15950.35
2023-10-27,16012.67
2023-10-30,16020.7
2023-10-31,15995.58
2023-11-01,15976.49
2023-11-02,16025.73
2023-11-03,15940.31
2023-11-06,15849.85
2023-11-07,15627.75
2023-11-08,15670.97
2023-11-09,15707.15
2023-11-10,15727.25
2023-11-13,15771.47
2023-11-14,15791.57
2023-11-15,15777.5
2023-11-16,15580.51
2023-11-17,15672.98
2023-11-20,15581.52
2023-11-21,15496.09
2023-11-22,15513.18
2023-11-23,15661.92
2023-11-24,15670.97
2023-11-27,15664.93
2023-11-28,15604.64
2023-11-29,15527.25
2023-11-30,15460.92
2023-12-01,15561.42
2023-12-04,15601.62
2023-12-05,15523.23
2023-12-06,15581.52
2023-12-07,15581.52
2023-12-08,15613.68
2023-12-11,15577.5
2023-12-12,15692.07
2023-12-13,15709.16
2023-12-14,15707.15
2023-12-15,15570.47
2023-12-18,15580.51
2023-12-19,15593.58
2023-12-20,15583.53
2023-12-21,15589.56
2023-12-22,15610.67
2023-12-27,15566.44
2023-12-28,15491.07
2023-12-29,15493.08
2024-01-02,15516.19
2024-01-03,15550.36
2024-01-04,15572.48
2024-01-05,15602.63
2024-01-08,15595.59
2024-01-09,15599.61
2024-01-10,15595.59
2024-01-11,15645.84
2024-01-12,15635.79
2024-01-15,15636.8
2024-01-16,15632.77
2024-01-17,15669.96
2024-01-18,15717.19
2024-01-19,15708.15
2024-01-22,15706.14
2024-01-23,15705.14
2024-01-24,15734.28
2024-01-25,15797.59
2024-01-26,15845.83
2024-01-29,15908.15
2024-01-30,15904.13
2024-01-31,15874.98
2024-02-01,15882.01
2024-02-02,15853.88
2024-02-05,15766.44
2024-02-06,15783.52
2024-02-07,15812.67
2024-02-12,15763.42
2024-02-13,15690.06
2024-02-15,15662.92
2024-02-16,15684.03
2024-02-19,15732.27
2024-02-20,15708.15
2024-02-21,15737.3
2024-02-22,15736.29
2024-02-23,15708.15
2024-02-26,15666.94
2024-02-27,15713.17
2024-02-28,15733.27
2024-02-29,15751.36
2024-03-01,15793.58
2024-03-04,15774.48
2024-03-05,15801.61
2024-03-06,15834.78
2024-03-07,15801.61
2024-03-08,15736.29
2024-03-13,15681.01
2024-03-14,15653.88
2024-03-15,15659.91
2024-03-18,15702.12
2024-03-19,15750.36
2024-03-20,15790.56
2024-03-21,15805.64
2024-03-22,15740.31
2024-03-25,15851.86
2024-03-26,15873.98
2024-03-27,15875.99
2024-03-28,15932.26
2024-04-01,15952.36
2024-04-02,15988.55
2024-04-03,16013.67
2024-04-04,16002.61
2024-04-05,15986.53
2024-04-16,15952.36
2024-04-17,16256.88
2024-04-18,16321.2
2024-04-19,16257.89
2024-04-22,16361.4
2024-04-23,16305.12
2024-04-24,16325.22
2024-04-25,16241.81
2024-04-26,16289.04
2024-04-29,16303.11
2024-04-30,16330.25
2024-05-02,16357.38
2024-05-03,16283.01
2024-05-06,16174.47
2024-05-07,16105.13
2024-05-08,16134.27
2024-05-13,16161.41
2024-05-14,16165.42
2024-05-15,16211.66
2024-05-16,16150.35
2024-05-17,16023.72
2024-05-20,16057.89
2024-05-21,16059.9
2024-05-22,16104.12
2024-05-27,16074.98
2024-05-28,16144.32
2024-05-29,16175.48
2024-05-30,16240.8
2024-05-31,16334.26
2024-06-03,16332.25
2024-06-04,16306.13
2024-06-05,16301.1
2024-06-06,16363.41
2024-06-07,16360.4
2024-06-10,16299.09
2024-06-11,16371.45
2024-06-12,16376.48
2024-06-13,16378.49
2024-06-14,16367.43
2024-06-19,16455.87
